model_variant,phase,pdr,avg_latency_ms,qos_satisfaction,joint_optimization_rate
1. Full I-MACSI,Normal,0.9066666666666667,61.065483564645966,0.5433333333333333,9.133333333333333
1. Full I-MACSI,Failure,0.8133333333333334,69.91247886449001,0.45333333333333337,27.12
2. No Semantic Intent,Normal,0.8466666666666667,68.07166689675365,0.8466666666666667,8.926666666666666
2. No Semantic Intent,Failure,0.8333333333333334,77.1695283866354,0.8333333333333334,27.313333333333333
3. No Consensus Learning,Normal,0.9033333333333333,62.86715121973183,0.5033333333333333,9.326666666666666
3. No Consensus Learning,Failure,0.7866666666666667,68.35721222176558,0.39999999999999997,27.053333333333335
4. No Adaptive Reward,Normal,0.9733333333333333,44.6897073099852,0.7066666666666667,7.4
4. No Adaptive Reward,Failure,0.98,45.36637456192667,0.7066666666666667,22.026666666666667
5. No Cooperative Swarm,Normal,0.91,61.211450176323304,0.5266666666666667,9.123333333333333
5. No Cooperative Swarm,Failure,0.82,72.5026467690475,0.4066666666666667,27.486666666666668
