total_packets,successful_packets,failed_packets,total_latency_ms,total_hops,total_throughput_kbps,qos_met_packets,routing_overhead,avg_latency_ms,avg_hops,pdr,packet_loss_rate,avg_throughput_kbps,qos_satisfaction,episode,packets_processed
10,10,0,531.98046216243,75,664301.7156388948,8,75,53.19804621624299,7.5,1.0,0.0,66430.17156388948,0.8,0,10
10,10,0,615.4289378561095,88,176501.49359575307,8,88,61.54289378561096,8.8,1.0,0.0,17650.149359575305,0.8,1,20
10,10,0,505.11345173614654,74,644024.5993617603,10,74,50.51134517361466,7.4,1.0,0.0,64402.459936176034,1.0,2,30
10,10,0,626.4675079252531,87,464251.40428147826,8,87,62.64675079252531,8.7,1.0,0.0,46425.140428147824,0.8,3,40
10,9,1,466.86074722810906,68,741679.9507394072,7,83,51.87341635867878,7.555555555555555,0.9,0.09999999999999998,82408.88341548969,0.7,4,50
10,9,1,469.55758109288615,68,648575.0599465813,7,83,52.17306456587624,7.555555555555555,0.9,0.09999999999999998,72063.89554962014,0.7,5,60
10,9,1,628.4140724921718,93,529660.1494618875,8,108,69.82378583246354,10.333333333333334,0.9,0.09999999999999998,58851.1277179875,0.8,6,70
10,9,1,396.495593490106,59,371904.26794539683,7,74,44.05506594334511,6.555555555555555,0.9,0.09999999999999998,41322.696438377425,0.7,7,80
10,9,1,583.1122936308776,89,238890.09595668747,6,104,64.79025484787529,9.88888888888889,0.9,0.09999999999999998,26543.343995187497,0.6,8,90
10,7,3,532.2417521965511,77,20152.51554781475,3,122,76.03453602807873,11.0,0.7,0.30000000000000004,2878.9307925449643,0.3,9,100
10,9,1,550.5994326325873,81,117583.14499899432,6,96,61.177714736954144,9.0,0.9,0.09999999999999998,13064.793888777147,0.6,10,110
10,8,2,388.5681436187065,58,239031.58332655608,8,88,48.57101795233831,7.25,0.8,0.19999999999999996,29878.94791581951,0.8,11,120
10,10,0,615.6671833183003,92,434723.35285776167,8,92,61.56671833183003,9.2,1.0,0.0,43472.335285776164,0.8,12,130
10,10,0,602.9327524712326,89,262922.8710743047,8,89,60.293275247123255,8.9,1.0,0.0,26292.287107430468,0.8,13,140
10,8,2,349.2226253373278,50,103839.12986734195,8,80,43.65282816716598,6.25,0.8,0.19999999999999996,12979.891233417744,0.8,14,150
10,9,1,522.081384973768,79,192779.43734047347,5,94,58.009042774863104,8.777777777777779,0.9,0.09999999999999998,21419.93748227483,0.5,15,160
10,8,2,418.0165045005483,63,137992.9639024298,8,93,52.25206306256854,7.875,0.8,0.19999999999999996,17249.120487803724,0.8,16,170
10,10,0,550.0645923171105,80,907738.4509089105,8,80,55.00645923171105,8.0,1.0,0.0,90773.84509089105,0.8,17,180
10,9,1,599.4987630187219,86,39082.29067262039,6,101,66.61097366874688,9.555555555555555,0.9,0.09999999999999998,4342.476741402265,0.6,18,190
10,7,3,386.78552219915895,57,186543.5405890467,6,102,55.25507459987985,8.142857142857142,0.7,0.30000000000000004,26649.07722700667,0.6,19,200
10,8,2,414.72987389732276,64,537329.3645860811,7,94,51.841234237165345,8.0,0.8,0.19999999999999996,67166.17057326014,0.7,20,210
10,10,0,629.4193615002858,94,271552.69284126273,8,94,62.94193615002858,9.4,1.0,0.0,27155.269284126272,0.8,21,220
10,9,1,584.9125568344245,88,37144.80115629676,5,103,64.99028409271384,9.777777777777779,0.9,0.09999999999999998,4127.200128477418,0.5,22,230
10,8,2,428.48476146908007,66,115826.52749890211,6,96,53.56059518363501,8.25,0.8,0.19999999999999996,14478.315937362764,0.6,23,240
10,9,1,643.2891351446457,94,279126.2178840895,8,109,71.47657057162729,10.444444444444445,0.9,0.09999999999999998,31014.02420934328,0.8,24,250
10,7,3,591.3723217971154,87,103376.94682871414,4,132,84.48176025673078,12.428571428571429,0.7,0.30000000000000004,14768.135261244877,0.4,25,260
10,7,3,476.3125019474943,71,83996.5157133179,4,116,68.04464313535632,10.142857142857142,0.7,0.30000000000000004,11999.5022447597,0.4,26,270
10,9,1,645.9335024558071,96,290751.70718953956,9,111,71.77038916175634,10.666666666666666,0.9,0.09999999999999998,32305.745243282174,0.9,27,280
10,9,1,641.3129295847855,92,184570.34792134733,7,107,71.25699217608728,10.222222222222221,0.9,0.09999999999999998,20507.81643570526,0.7,28,290
10,10,0,766.1029753792261,115,81459.26354468032,8,115,76.6102975379226,11.5,1.0,0.0,8145.926354468032,0.8,29,300
10,9,1,448.6076498922353,69,219582.3346499212,8,84,49.84529443247059,7.666666666666667,0.9,0.09999999999999998,24398.037183324577,0.8,30,310
10,7,3,366.21735556705397,55,148459.8749891246,5,100,52.31676508100771,7.857142857142857,0.7,0.30000000000000004,21208.55356987494,0.5,31,320
10,8,2,499.1738342669315,75,108278.82053037305,5,105,62.39672928336644,9.375,0.8,0.19999999999999996,13534.852566296631,0.5,32,330
10,8,2,501.309426016583,78,524282.2007869187,5,108,62.66367825207288,9.75,0.8,0.19999999999999996,65535.27509836484,0.5,33,340
10,9,1,426.2419247554842,66,553672.3214299402,9,81,47.36021386172047,7.333333333333333,0.9,0.09999999999999998,61519.14682554891,0.9,34,350
